puerto,potencia_dbm,alarma,degradacion
PORT-012,-23.92,BAJA_POTENCIA,False
PORT-023,-30.38,SIN_ALARMA,True
PORT-020,-23.68,SIN_ALARMA,False
PORT-025,-21.44,INTERMITENCIA,False
PORT-003,-21.99,SIN_ALARMA,False
PORT-005,-18.98,SIN_ALARMA,False
PORT-019,-14.27,BAJA_POTENCIA,False
PORT-007,-20.34,SIN_ALARMA,False
PORT-021,-19.73,PERDIDA_SEÑAL,False
PORT-009,-21.41,SIN_ALARMA,False
PORT-007,-17.31,INTERMITENCIA,False
PORT-018,-19.87,BAJA_POTENCIA,False
PORT-004,-19.0,SIN_ALARMA,False
PORT-025,-14.76,INTERMITENCIA,False
PORT-028,-21.09,SIN_ALARMA,False
PORT-014,-23.08,INTERMITENCIA,False
PORT-018,-20.21,SIN_ALARMA,False
PORT-026,-17.46,SIN_ALARMA,False
PORT-009,-19.99,SIN_ALARMA,False
PORT-026,-17.76,SIN_ALARMA,False
PORT-021,-24.68,SIN_ALARMA,False
PORT-002,-25.47,PERDIDA_SEÑAL,False
PORT-020,-24.18,PERDIDA_SEÑAL,False
PORT-028,-27.07,INTERMITENCIA,True
PORT-015,-21.56,SIN_ALARMA,False
PORT-028,-23.72,SIN_ALARMA,False
PORT-007,-17.08,SIN_ALARMA,False
PORT-012,-27.16,SIN_ALARMA,True
PORT-029,-15.78,SIN_ALARMA,False
PORT-008,-25.92,SIN_ALARMA,False
PORT-015,-26.95,BAJA_POTENCIA,False
PORT-003,-25.3,SIN_ALARMA,False
PORT-014,-14.19,SIN_ALARMA,False
PORT-017,-22.16,SIN_ALARMA,False
PORT-004,-19.88,SIN_ALARMA,False
PORT-018,-22.74,SIN_ALARMA,False
PORT-008,-22.36,INTERMITENCIA,False
PORT-004,-24.02,SIN_ALARMA,False
PORT-002,-21.8,SIN_ALARMA,False
PORT-030,-20.02,SIN_ALARMA,False
PORT-006,-15.29,PERDIDA_SEÑAL,False
PORT-022,-29.5,INTERMITENCIA,True
PORT-010,-15.56,BAJA_POTENCIA,False
PORT-004,-19.89,BAJA_POTENCIA,False
PORT-022,-23.47,SIN_ALARMA,False
PORT-029,-24.19,SIN_ALARMA,False
PORT-018,-17.83,INTERMITENCIA,False
PORT-026,-21.08,BAJA_POTENCIA,False
PORT-012,-28.14,SIN_ALARMA,True
PORT-002,-20.55,BAJA_POTENCIA,False
PORT-010,-17.42,BAJA_POTENCIA,False
PORT-030,-18.57,SIN_ALARMA,False
PORT-004,-24.51,INTERMITENCIA,False
PORT-014,-27.37,INTERMITENCIA,True
PORT-016,-23.3,SIN_ALARMA,False
PORT-015,-8.98,BAJA_POTENCIA,False
PORT-008,-28.18,SIN_ALARMA,True
PORT-014,-25.37,BAJA_POTENCIA,False
PORT-023,-20.43,SIN_ALARMA,False
PORT-028,-22.5,SIN_ALARMA,False
PORT-025,-22.8,INTERMITENCIA,False
PORT-030,-13.9,SIN_ALARMA,False
PORT-008,-25.41,SIN_ALARMA,False
PORT-021,-22.06,SIN_ALARMA,False
PORT-016,-21.19,SIN_ALARMA,False
PORT-013,-25.22,BAJA_POTENCIA,False
PORT-018,-27.76,SIN_ALARMA,True
PORT-015,-20.92,SIN_ALARMA,False
PORT-021,-14.75,SIN_ALARMA,False
PORT-024,-20.38,BAJA_POTENCIA,False
PORT-026,-21.64,BAJA_POTENCIA,False
PORT-025,-21.67,SIN_ALARMA,False
PORT-028,-23.03,SIN_ALARMA,False
PORT-028,-17.27,SIN_ALARMA,False
PORT-028,-24.02,SIN_ALARMA,False
PORT-013,-27.43,BAJA_POTENCIA,True
PORT-009,-28.33,SIN_ALARMA,True
PORT-029,-21.68,SIN_ALARMA,False
PORT-015,-17.76,SIN_ALARMA,False
PORT-013,-21.05,PERDIDA_SEÑAL,False
PORT-001,-23.27,SIN_ALARMA,False
PORT-025,-20.17,SIN_ALARMA,False
PORT-007,-21.26,SIN_ALARMA,False
PORT-009,-18.7,SIN_ALARMA,False
PORT-024,-16.69,PERDIDA_SEÑAL,False
PORT-001,-25.82,SIN_ALARMA,False
PORT-012,-31.36,BAJA_POTENCIA,True
PORT-008,-23.41,BAJA_POTENCIA,False
PORT-024,-26.08,SIN_ALARMA,False
PORT-011,-18.67,SIN_ALARMA,False
PORT-019,-24.9,PERDIDA_SEÑAL,False
PORT-017,-29.5,SIN_ALARMA,True
PORT-008,-24.3,SIN_ALARMA,False
PORT-003,-27.97,INTERMITENCIA,True
PORT-003,-15.64,SIN_ALARMA,False
PORT-001,-20.11,SIN_ALARMA,False
PORT-027,-19.41,SIN_ALARMA,False
PORT-005,-19.86,INTERMITENCIA,False
PORT-010,-18.64,SIN_ALARMA,False
PORT-007,-17.47,SIN_ALARMA,False
PORT-026,-24.16,SIN_ALARMA,False
PORT-009,-27.68,SIN_ALARMA,True
PORT-028,-25.39,SIN_ALARMA,False
PORT-007,-22.18,SIN_ALARMA,False
PORT-009,-32.26,SIN_ALARMA,True
PORT-008,-17.43,SIN_ALARMA,False
PORT-012,-29.59,SIN_ALARMA,True
PORT-002,-19.6,SIN_ALARMA,False
PORT-001,-22.67,SIN_ALARMA,False
PORT-016,-20.86,SIN_ALARMA,False
PORT-023,-23.89,BAJA_POTENCIA,False
PORT-023,-21.13,SIN_ALARMA,False
PORT-030,-23.89,SIN_ALARMA,False
PORT-024,-24.22,SIN_ALARMA,False
PORT-005,-25.59,PERDIDA_SEÑAL,False
PORT-003,-15.9,BAJA_POTENCIA,False
PORT-012,-20.53,SIN_ALARMA,False
PORT-008,-21.16,SIN_ALARMA,False
PORT-022,-25.5,INTERMITENCIA,False
PORT-027,-22.94,SIN_ALARMA,False
PORT-003,-25.95,SIN_ALARMA,False
PORT-001,-23.96,SIN_ALARMA,False
PORT-003,-26.84,SIN_ALARMA,False
PORT-005,-15.64,INTERMITENCIA,False
PORT-015,-25.03,BAJA_POTENCIA,False
PORT-014,-25.5,SIN_ALARMA,False
PORT-003,-27.3,SIN_ALARMA,True
PORT-001,-25.08,INTERMITENCIA,False
PORT-005,-23.98,PERDIDA_SEÑAL,False
PORT-026,-22.2,SIN_ALARMA,False
PORT-023,-24.58,INTERMITENCIA,False
PORT-014,-28.4,INTERMITENCIA,True
PORT-007,-28.06,BAJA_POTENCIA,True
PORT-027,-19.28,SIN_ALARMA,False
PORT-009,-22.49,SIN_ALARMA,False
PORT-015,-19.4,PERDIDA_SEÑAL,False
PORT-015,-18.88,SIN_ALARMA,False
PORT-026,-21.4,PERDIDA_SEÑAL,False
PORT-010,-26.93,SIN_ALARMA,False
PORT-028,-21.24,SIN_ALARMA,False
PORT-013,-16.4,SIN_ALARMA,False
PORT-019,-23.79,SIN_ALARMA,False
PORT-007,-20.64,INTERMITENCIA,False
PORT-017,-22.06,PERDIDA_SEÑAL,False
PORT-020,-16.51,PERDIDA_SEÑAL,False
PORT-029,-24.71,SIN_ALARMA,False
PORT-004,-17.39,SIN_ALARMA,False
PORT-030,-23.5,SIN_ALARMA,False
PORT-005,-24.78,SIN_ALARMA,False
PORT-023,-21.56,SIN_ALARMA,False
PORT-007,-20.63,SIN_ALARMA,False
PORT-013,-14.35,SIN_ALARMA,False
PORT-015,-20.72,SIN_ALARMA,False
PORT-011,-21.23,INTERMITENCIA,False
PORT-029,-15.62,PERDIDA_SEÑAL,False
PORT-004,-19.6,SIN_ALARMA,False
PORT-013,-24.58,SIN_ALARMA,False
PORT-007,-16.58,BAJA_POTENCIA,False
PORT-027,-24.96,SIN_ALARMA,False
PORT-019,-24.6,PERDIDA_SEÑAL,False
PORT-022,-25.39,PERDIDA_SEÑAL,False
PORT-028,-25.74,SIN_ALARMA,False
PORT-002,-20.67,SIN_ALARMA,False
PORT-010,-23.03,SIN_ALARMA,False
PORT-013,-35.91,SIN_ALARMA,True
PORT-030,-23.07,SIN_ALARMA,False
PORT-025,-24.07,PERDIDA_SEÑAL,False
PORT-021,-18.43,SIN_ALARMA,False
PORT-006,-24.25,SIN_ALARMA,False
PORT-028,-11.84,INTERMITENCIA,False
PORT-028,-16.41,BAJA_POTENCIA,False
PORT-012,-23.56,SIN_ALARMA,False
PORT-012,-17.4,SIN_ALARMA,False
PORT-020,-19.9,SIN_ALARMA,False
PORT-030,-21.07,BAJA_POTENCIA,False
PORT-030,-18.79,SIN_ALARMA,False
PORT-011,-21.78,SIN_ALARMA,False
PORT-026,-21.04,INTERMITENCIA,False
PORT-023,-18.71,SIN_ALARMA,False
PORT-028,-13.79,PERDIDA_SEÑAL,False
PORT-025,-21.0,INTERMITENCIA,False
PORT-007,-23.82,SIN_ALARMA,False
PORT-030,-30.12,PERDIDA_SEÑAL,True
PORT-001,-14.15,SIN_ALARMA,False
PORT-001,-23.05,INTERMITENCIA,False
PORT-025,-19.86,SIN_ALARMA,False
PORT-027,-14.38,BAJA_POTENCIA,False
PORT-030,-21.09,SIN_ALARMA,False
PORT-025,-22.78,PERDIDA_SEÑAL,False
PORT-020,-16.32,BAJA_POTENCIA,False
PORT-013,-20.16,SIN_ALARMA,False
PORT-009,-19.66,PERDIDA_SEÑAL,False
PORT-003,-28.09,SIN_ALARMA,True
PORT-007,-17.18,SIN_ALARMA,False
PORT-006,-20.5,SIN_ALARMA,False
PORT-008,-27.49,SIN_ALARMA,True
PORT-027,-20.06,SIN_ALARMA,False
PORT-009,-30.25,INTERMITENCIA,True
PORT-030,-12.63,SIN_ALARMA,False
PORT-005,-26.41,BAJA_POTENCIA,False
PORT-001,-15.55,SIN_ALARMA,False
PORT-019,-25.25,PERDIDA_SEÑAL,False
PORT-010,-19.76,INTERMITENCIA,False
PORT-012,-25.65,SIN_ALARMA,False
PORT-024,-18.01,PERDIDA_SEÑAL,False
PORT-015,-22.94,SIN_ALARMA,False
PORT-027,-20.13,PERDIDA_SEÑAL,False
PORT-022,-21.94,SIN_ALARMA,False
PORT-024,-27.46,INTERMITENCIA,True
PORT-009,-19.98,SIN_ALARMA,False
PORT-020,-24.01,SIN_ALARMA,False
PORT-017,-17.82,BAJA_POTENCIA,False
PORT-030,-22.94,SIN_ALARMA,False
PORT-017,-22.31,SIN_ALARMA,False
PORT-026,-15.27,SIN_ALARMA,False
PORT-020,-12.47,SIN_ALARMA,False
PORT-012,-18.86,SIN_ALARMA,False
PORT-030,-23.15,SIN_ALARMA,False
PORT-007,-23.5,SIN_ALARMA,False
PORT-002,-25.27,SIN_ALARMA,False
PORT-003,-24.5,PERDIDA_SEÑAL,False
PORT-017,-23.09,SIN_ALARMA,False
PORT-005,-14.14,SIN_ALARMA,False
PORT-017,-22.79,SIN_ALARMA,False
PORT-024,-26.9,SIN_ALARMA,False
PORT-017,-21.83,PERDIDA_SEÑAL,False
PORT-027,-21.29,SIN_ALARMA,False
PORT-017,-21.86,SIN_ALARMA,False
PORT-002,-18.8,BAJA_POTENCIA,False
PORT-002,-21.72,BAJA_POTENCIA,False
PORT-028,-18.93,SIN_ALARMA,False
PORT-022,-25.12,BAJA_POTENCIA,False
PORT-023,-14.88,INTERMITENCIA,False
PORT-005,-20.99,SIN_ALARMA,False
PORT-001,-20.4,BAJA_POTENCIA,False
PORT-001,-25.14,BAJA_POTENCIA,False
PORT-019,-20.11,SIN_ALARMA,False
PORT-030,-19.4,SIN_ALARMA,False
PORT-002,-26.68,SIN_ALARMA,False
PORT-021,-28.64,PERDIDA_SEÑAL,True
PORT-012,-20.83,INTERMITENCIA,False
PORT-026,-23.96,BAJA_POTENCIA,False
PORT-006,-20.96,SIN_ALARMA,False
PORT-023,-27.16,SIN_ALARMA,True
PORT-004,-28.24,SIN_ALARMA,True
PORT-023,-21.17,SIN_ALARMA,False
PORT-011,-23.4,SIN_ALARMA,False
PORT-024,-30.44,PERDIDA_SEÑAL,True
PORT-027,-16.63,SIN_ALARMA,False
PORT-017,-27.23,PERDIDA_SEÑAL,True
PORT-006,-11.71,SIN_ALARMA,False
PORT-024,-24.5,SIN_ALARMA,False
PORT-005,-20.39,SIN_ALARMA,False
PORT-020,-15.41,SIN_ALARMA,False
PORT-002,-16.08,INTERMITENCIA,False
PORT-006,-14.06,SIN_ALARMA,False
PORT-022,-28.09,PERDIDA_SEÑAL,True
PORT-011,-26.54,SIN_ALARMA,False
PORT-016,-21.1,PERDIDA_SEÑAL,False
PORT-016,-18.64,SIN_ALARMA,False
PORT-001,-22.04,PERDIDA_SEÑAL,False
PORT-009,-28.55,BAJA_POTENCIA,True
PORT-028,-20.01,SIN_ALARMA,False
PORT-027,-22.78,SIN_ALARMA,False
PORT-006,-22.82,PERDIDA_SEÑAL,False
PORT-016,-31.11,INTERMITENCIA,True
PORT-029,-18.81,SIN_ALARMA,False
PORT-003,-21.42,BAJA_POTENCIA,False
PORT-020,-14.82,INTERMITENCIA,False
PORT-028,-22.3,PERDIDA_SEÑAL,False
PORT-027,-19.73,INTERMITENCIA,False
PORT-004,-18.67,BAJA_POTENCIA,False
PORT-019,-28.98,SIN_ALARMA,True
PORT-026,-11.53,SIN_ALARMA,False
PORT-003,-23.72,SIN_ALARMA,False
PORT-019,-20.02,BAJA_POTENCIA,False
PORT-020,-19.44,BAJA_POTENCIA,False
PORT-007,-25.26,SIN_ALARMA,False
PORT-020,-14.61,PERDIDA_SEÑAL,False
PORT-009,-20.94,BAJA_POTENCIA,False
PORT-001,-22.85,SIN_ALARMA,False
PORT-008,-21.45,SIN_ALARMA,False
PORT-007,-18.94,SIN_ALARMA,False
PORT-018,-21.96,SIN_ALARMA,False
PORT-008,-18.47,SIN_ALARMA,False
PORT-001,-28.74,SIN_ALARMA,True
PORT-011,-24.99,SIN_ALARMA,False
PORT-028,-30.56,SIN_ALARMA,True
PORT-025,-14.01,SIN_ALARMA,False
PORT-025,-14.06,SIN_ALARMA,False
PORT-018,-19.49,BAJA_POTENCIA,False
PORT-023,-26.05,SIN_ALARMA,False
PORT-030,-12.44,INTERMITENCIA,False
PORT-010,-24.42,INTERMITENCIA,False
PORT-003,-22.85,SIN_ALARMA,False
PORT-007,-21.36,SIN_ALARMA,False
PORT-028,-20.19,SIN_ALARMA,False
PORT-016,-19.42,SIN_ALARMA,False
PORT-026,-19.26,SIN_ALARMA,False
PORT-016,-22.58,SIN_ALARMA,False
PORT-025,-19.33,SIN_ALARMA,False
PORT-020,-22.76,SIN_ALARMA,False
PORT-028,-19.68,SIN_ALARMA,False
PORT-017,-20.01,BAJA_POTENCIA,False
PORT-002,-18.95,SIN_ALARMA,False
PORT-001,-19.45,SIN_ALARMA,False
PORT-016,-23.77,SIN_ALARMA,False
PORT-030,-20.17,INTERMITENCIA,False
PORT-012,-19.39,SIN_ALARMA,False
PORT-005,-27.16,SIN_ALARMA,True
PORT-005,-23.1,BAJA_POTENCIA,False
PORT-027,-19.57,SIN_ALARMA,False
PORT-023,-15.16,INTERMITENCIA,False
PORT-009,-18.7,BAJA_POTENCIA,False
PORT-009,-14.91,BAJA_POTENCIA,False
PORT-003,-23.59,BAJA_POTENCIA,False
PORT-019,-21.0,INTERMITENCIA,False
PORT-016,-18.78,INTERMITENCIA,False
PORT-016,-31.31,BAJA_POTENCIA,True
PORT-003,-15.96,BAJA_POTENCIA,False
PORT-020,-29.44,SIN_ALARMA,True
PORT-024,-18.01,SIN_ALARMA,False
PORT-022,-19.25,SIN_ALARMA,False
PORT-024,-31.36,SIN_ALARMA,True
PORT-001,-31.16,SIN_ALARMA,True
PORT-024,-16.27,SIN_ALARMA,False
PORT-020,-17.14,SIN_ALARMA,False
PORT-011,-25.52,BAJA_POTENCIA,False
PORT-017,-25.53,INTERMITENCIA,False
PORT-008,-19.95,SIN_ALARMA,False
PORT-004,-22.05,SIN_ALARMA,False
PORT-006,-17.78,PERDIDA_SEÑAL,False
PORT-008,-20.08,SIN_ALARMA,False
PORT-020,-15.67,PERDIDA_SEÑAL,False
PORT-030,-18.12,SIN_ALARMA,False
PORT-003,-19.12,SIN_ALARMA,False
PORT-016,-23.41,INTERMITENCIA,False
PORT-030,-23.7,SIN_ALARMA,False
PORT-025,-22.21,BAJA_POTENCIA,False
PORT-003,-14.64,PERDIDA_SEÑAL,False
PORT-025,-23.63,SIN_ALARMA,False
PORT-029,-20.96,BAJA_POTENCIA,False
PORT-018,-30.98,INTERMITENCIA,True
PORT-014,-19.3,SIN_ALARMA,False
PORT-018,-12.97,PERDIDA_SEÑAL,False
PORT-002,-25.73,SIN_ALARMA,False
PORT-022,-9.3,SIN_ALARMA,False
PORT-003,-21.27,SIN_ALARMA,False
PORT-016,-32.29,SIN_ALARMA,True
PORT-029,-23.54,INTERMITENCIA,False
PORT-009,-16.68,INTERMITENCIA,False
PORT-004,-14.0,SIN_ALARMA,False
PORT-001,-19.13,BAJA_POTENCIA,False
PORT-004,-15.73,SIN_ALARMA,False
PORT-001,-26.71,SIN_ALARMA,False
PORT-014,-24.72,BAJA_POTENCIA,False
PORT-021,-28.72,SIN_ALARMA,True
PORT-016,-24.42,SIN_ALARMA,False
PORT-020,-18.95,BAJA_POTENCIA,False
PORT-024,-21.15,SIN_ALARMA,False
PORT-008,-18.53,SIN_ALARMA,False
PORT-007,-25.75,SIN_ALARMA,False
PORT-003,-25.5,SIN_ALARMA,False
PORT-017,-21.18,BAJA_POTENCIA,False
PORT-001,-24.41,SIN_ALARMA,False
PORT-016,-16.79,BAJA_POTENCIA,False
PORT-012,-24.51,SIN_ALARMA,False
PORT-027,-23.98,SIN_ALARMA,False
PORT-019,-20.32,SIN_ALARMA,False
PORT-022,-23.56,SIN_ALARMA,False
PORT-023,-26.94,BAJA_POTENCIA,False
PORT-022,-26.4,PERDIDA_SEÑAL,False
PORT-014,-19.85,SIN_ALARMA,False
PORT-030,-27.43,SIN_ALARMA,True
PORT-006,-16.41,SIN_ALARMA,False
PORT-006,-24.76,SIN_ALARMA,False
PORT-013,-19.54,BAJA_POTENCIA,False
PORT-019,-24.52,SIN_ALARMA,False
PORT-022,-25.66,SIN_ALARMA,False
PORT-008,-21.02,SIN_ALARMA,False
PORT-027,-17.79,SIN_ALARMA,False
PORT-027,-22.99,SIN_ALARMA,False
PORT-002,-22.26,SIN_ALARMA,False
PORT-021,-18.77,SIN_ALARMA,False
PORT-030,-18.64,SIN_ALARMA,False
PORT-001,-22.15,PERDIDA_SEÑAL,False
PORT-028,-23.77,SIN_ALARMA,False
PORT-015,-21.67,INTERMITENCIA,False
PORT-001,-22.76,SIN_ALARMA,False
PORT-005,-20.75,PERDIDA_SEÑAL,False
PORT-028,-26.78,SIN_ALARMA,False
PORT-029,-20.89,BAJA_POTENCIA,False
PORT-016,-24.87,BAJA_POTENCIA,False
PORT-019,-18.38,SIN_ALARMA,False
PORT-004,-24.69,SIN_ALARMA,False
PORT-003,-24.62,SIN_ALARMA,False
PORT-017,-20.22,SIN_ALARMA,False
PORT-017,-21.94,SIN_ALARMA,False
PORT-012,-12.89,SIN_ALARMA,False
PORT-028,-28.52,SIN_ALARMA,True
PORT-030,-21.56,SIN_ALARMA,False
PORT-029,-17.48,BAJA_POTENCIA,False
PORT-014,-24.31,BAJA_POTENCIA,False
PORT-021,-25.64,INTERMITENCIA,False
PORT-006,-25.48,SIN_ALARMA,False
PORT-003,-28.45,SIN_ALARMA,True
PORT-028,-16.6,SIN_ALARMA,False
PORT-009,-23.32,SIN_ALARMA,False
PORT-005,-23.79,PERDIDA_SEÑAL,False
PORT-024,-30.5,SIN_ALARMA,True
PORT-029,-27.73,BAJA_POTENCIA,True
PORT-017,-16.14,SIN_ALARMA,False
PORT-014,-20.79,SIN_ALARMA,False
PORT-021,-17.33,SIN_ALARMA,False
PORT-003,-17.84,SIN_ALARMA,False
PORT-028,-26.0,SIN_ALARMA,False
PORT-001,-12.28,SIN_ALARMA,False
PORT-020,-14.2,SIN_ALARMA,False
PORT-029,-24.26,SIN_ALARMA,False
PORT-021,-36.27,SIN_ALARMA,True
PORT-023,-23.43,SIN_ALARMA,False
PORT-001,-21.05,SIN_ALARMA,False
PORT-003,-24.27,SIN_ALARMA,False
PORT-018,-22.89,BAJA_POTENCIA,False
PORT-025,-25.31,SIN_ALARMA,False
PORT-010,-18.31,BAJA_POTENCIA,False
PORT-022,-21.75,SIN_ALARMA,False
PORT-026,-18.19,SIN_ALARMA,False
PORT-003,-17.11,PERDIDA_SEÑAL,False
PORT-008,-30.7,SIN_ALARMA,True
PORT-014,-25.08,SIN_ALARMA,False
PORT-018,-11.71,SIN_ALARMA,False
PORT-015,-21.4,SIN_ALARMA,False
PORT-022,-18.75,SIN_ALARMA,False
PORT-023,-29.52,PERDIDA_SEÑAL,True
PORT-002,-21.43,SIN_ALARMA,False
PORT-027,-18.09,SIN_ALARMA,False
PORT-010,-18.55,SIN_ALARMA,False
PORT-002,-19.51,BAJA_POTENCIA,False
PORT-026,-21.95,SIN_ALARMA,False
PORT-017,-21.75,SIN_ALARMA,False
PORT-008,-28.77,SIN_ALARMA,True
PORT-001,-25.6,INTERMITENCIA,False
PORT-009,-21.08,SIN_ALARMA,False
PORT-011,-24.86,SIN_ALARMA,False
PORT-022,-19.24,SIN_ALARMA,False
PORT-016,-20.13,SIN_ALARMA,False
PORT-007,-16.53,SIN_ALARMA,False
PORT-029,-18.17,SIN_ALARMA,False
